predictor,outcome,adjusted,n,elicited_q,status,likelihood_estimate,likelihood_se,neutral_mean,neutral_lo,neutral_hi,neutral_p_positive,directional_mean,directional_lo,directional_hi,directional_p_positive,prior_shift_p_positive,prior_data_conflict,n_nonmissing,note
F1_low_ridge,QoL_worse,False,9,0.98,ok,-0.6947059733472177,0.38980848991546646,-0.43208411164422106,-1.0346201347024642,0.17045191141402188,0.0799351122755077,0.021176965591515225,-0.7918166666475419,0.4321049252250874,0.8094709673765453,0.7295358551010376,True,9,continuous pilot
F1_low_ridge,QoL_worse,True,8,0.98,insufficient_data,,,,,,,,,,,,,9,continuous pilot
F3_low_palate,QoL_worse,False,9,0.98,ok,0.6488877336742045,0.4941599060718408,0.3282555620405724,-0.3606137868897882,1.0171249109709328,0.8248349891825637,0.43542405903573844,0.022597427811046872,1.0449976801308491,0.995615630479179,0.1707806412966153,False,9,continuous pilot
F3_low_palate,QoL_worse,True,8,0.98,insufficient_data,,,,,,,,,,,,,9,continuous pilot
F4_low_angle,QoL_worse,False,9,0.9,ok,1.0045503930225343,0.37266251832255576,0.6458015531137546,0.06016593281488325,1.231437173412626,0.9846648045335475,0.656188276235721,0.11663250345802581,1.2331883039053404,0.9982632453896936,0.013598440856146032,False,9,continuous pilot
F4_low_angle,QoL_worse,True,8,0.9,insufficient_data,,,,,,,,,,,,,9,continuous pilot
F5_any_flabby,QoL_worse,False,39,0.8,ok,0.3568176924084055,0.44133865417519885,0.20055861701449146,-0.4479526568141043,0.8490698908430871,0.7277886142719847,0.30405780820107414,-0.2652642409546531,0.8808030908691195,0.9144202696354813,0.18663165536349657,False,39,any vs none
F5_any_flabby,QoL_worse,True,33,0.8,ok,0.34344390041750145,0.5059411535923607,0.16969361904477553,-0.5273387552986094,0.8667259933881604,0.683374583098923,0.29420189296418786,-0.3391113579631735,0.9070889815384828,0.8961220112211826,0.21274742812225966,False,39,any vs none
F6_deviation_from_90,QoL_worse,False,9,0.98,ok,-0.7370178258743356,1.0210250436473702,-0.1425575063872297,-1.0226747594502776,0.7375597466758181,0.375444898855584,0.2873396122416747,-0.17020131353498033,0.9071504498205378,0.9669787146692863,0.5915338158137022,False,9,continuous pilot
F6_deviation_from_90,QoL_worse,True,8,0.98,insufficient_data,,,,,,,,,,,,,9,continuous pilot
